timeframe,player_id,x,y,vx,vy
22,2,11.64818385,12.82679547,-0.17493029,-0.20459212
23,2,11.54403513,12.68310331,-0.10414872,-0.14369216
24,2,11.50201772,12.58551011,-0.04201741,-0.0975932
25,2,11.4984867,12.50494726,-0.00353102,-0.08056285
26,2,11.54429252,12.41201147,0.04580582,-0.09293579
27,2,11.68530021,12.3334753,0.14100769,-0.07853617
28,2,11.81657601,12.28722977,0.1312758,-0.04624553
29,2,11.80059689,12.24370005,-0.01597912,-0.04352972
30,2,11.89605066,12.34667335,0.09545377,0.1029733
31,2,11.85829019,12.35712386,-0.03776047,0.01045051
32,2,11.69712925,12.37745562,-0.16116094,0.02033176
33,2,11.50389558,12.44418853,-0.19323367,0.06673291
34,2,11.40153942,12.54570361,-0.10235616,0.10151508
35,2,11.53801184,12.66420216,0.13647242,0.11849855
36,2,11.77898325,12.73369216,0.24097141,0.06949
37,2,12.06334302,12.72147475,0.28435977,-0.01221741
38,2,12.37566553,12.62656631,0.31232251,-0.09490844
39,2,12.68094728,12.41336476,0.30528175,-0.21320155
40,2,12.94402925,12.16477884,0.26308197,-0.24858592
41,2,13.17159049,11.84938576,0.22756124,-0.31539308
42,2,13.36862504,11.42249526,0.19703455,-0.4268905
43,2,13.53601662,10.89839405,0.16739158,-0.52410121
44,2,13.65937823,10.31413813,0.12336161,-0.58425592
45,2,13.75894075,9.751583947,0.09956252,-0.562554183
46,2,13.83540832,9.241903071,0.07646757,-0.509680876
47,2,14.83540832,8.335249113,1,-0.906653958
48,2,15.83540832,7.905765909,1,-0.429483204
49,2,16.14760755,7.817315167,0.31219923,-0.088450742
50,2,15.61825718,8.11397385,-0.52935037,0.296658683
51,2,15.25558319,8.354514377,-0.36267399,0.240540527
52,2,15.0478996,8.552922862,-0.20768359,0.198408485
53,2,14.70315929,8.492816019,-0.34474031,-0.060106843
54,2,14.22308069,8.783388468,-0.4800786,0.290572449
55,2,13.66564439,9.275732121,-0.5574363,0.492343653
56,2,13.19336302,10.03050623,-0.47228137,0.754774109
57,2,12.6236515,10.77351011,-0.56971152,0.74300388
58,2,12.10512615,11.59023401,-0.51852535,0.8167239
59,2,11.66662696,12.41960722,-0.43849919,0.82937321
60,2,12.64733711,12.87423676,0.98071015,0.45462954
61,2,12.79260713,12.9440854,0.14527002,0.06984864
62,2,12.53132395,12.83271915,-0.26128318,-0.11136625
63,2,12.12381118,12.65570017,-0.40751277,-0.17701898
64,2,11.6853215,12.4392668,-0.43848968,-0.21643337
65,2,11.20898701,12.1853039,-0.47633449,-0.2539629
66,2,11.23440024,12.32617627,0.02541323,0.14087237
67,2,11.22237392,12.47113279,-0.01202632,0.14495652
68,2,11.25530106,12.73162935,0.03292714,0.26049656
69,2,11.29592913,13.01237148,0.04062807,0.28074213
70,2,11.34805624,13.28630128,0.05212711,0.2739298
71,2,11.20099613,13.57869022,-0.14706011,0.29238894
72,2,11.11787137,13.83906328,-0.08312476,0.26037306
73,2,11.04538582,14.05155177,-0.07248555,0.21248849
74,2,10.96641806,14.25417105,-0.07896776,0.20261928
75,2,10.88080057,14.45211016,-0.08561749,0.19793911
76,2,10.838301,14.6026704,-0.04249957,0.15056024
77,2,10.82331933,14.68056418,-0.01498167,0.07789378
78,2,10.8187152,14.71735825,-0.00460413,0.03679407
79,2,10.81930864,14.73740999,0.00059344,0.02005174
80,2,10.9196034,14.64498845,0.10029476,-0.09242154
81,2,10.94146641,14.59933463,0.02186301,-0.04565382
82,2,10.96221383,14.57455662,0.02074742,-0.02477801
83,2,10.84660121,14.54797549,-0.11561262,-0.02658113
84,2,10.78838617,14.52261097,-0.05821504,-0.02536452
85,2,10.72315824,14.48376777,-0.06522793,-0.0388432
86,2,10.65753346,14.44413751,-0.06562478,-0.03963026
87,2,10.61598997,14.40674246,-0.04154349,-0.03739505
88,2,10.57680977,14.36902572,-0.0391802,-0.03771674
89,2,10.54535962,14.31632424,-0.03145015,-0.05270148
90,2,10.49715594,14.26117054,-0.04820368,-0.0551537
91,2,10.43710413,14.23058696,-0.06005181,-0.03058358
92,2,10.24370938,14.03613764,-0.19339475,-0.19444932
93,2,9.675718898,13.44449428,-0.567990482,-0.59164336
94,2,9.636644888,13.03389207,-0.03907401,-0.41060221
95,2,9.819222198,13.2374708,0.18257731,0.20357873
96,2,9.688063797,12.88709172,-0.131158401,-0.35037908
97,2,9.544700357,12.52082552,-0.14336344,-0.3662662
98,2,9.511188121,12.37960323,-0.033512236,-0.14122229
99,2,9.489283439,12.32669068,-0.021904682,-0.05291255
100,2,9.114576008,13.32669068,-0.374707431,1
101,2,9.003136324,14.32669068,-0.111439684,1
102,2,9.006580162,15.02117269,0.003443838,0.69448201
103,2,8.006580162,15.59703268,-1,0.57585999
104,2,7.054032393,15.79670765,-0.952547769,0.19967497
105,2,6.551030808,15.86663598,-0.503001585,0.06992833
106,2,6.336639523,15.88348275,-0.214391285,0.01684677
107,2,6.223881237,15.87743978,-0.112758286,-0.00604297
108,2,6.151559189,15.87921985,-0.072322048,0.00178007
109,2,6.090753197,15.86123733,-0.060805992,-0.01798252
110,2,6.032097192,15.78680833,-0.058656005,-0.074429
111,2,5.963436988,15.51564794,-0.068660204,-0.27116039
112,2,5.915976402,15.22072031,-0.047460586,-0.29492763
113,2,5.89579401,15.00984656,-0.020182392,-0.21087375
114,2,6.394614334,14.84496141,0.498820324,-0.16488515
115,2,6.071806646,14.7678023,-0.322807688,-0.07715911
116,2,5.976090248,14.73282085,-0.095716398,-0.03498145
117,2,5.955906941,14.70864054,-0.020183307,-0.02418031
118,2,6.455087808,14.84053606,0.499180867,0.13189552
119,2,6.121045624,14.99299914,-0.334042184,0.15246308
1,3,28,20,0,0
2,3,28.72193695,19.43511184,0.72193695,-0.56488816
3,3,27.72193695,18.43511184,-1,-1
4,3,26.72193695,17.43511184,-1,-1
5,3,25.87608907,16.43511184,-0.84584788,-1
6,3,25.24835256,15.43511184,-0.62773651,-1
7,3,24.71583429,14.43511184,-0.53251827,-1
8,3,24.2854028,13.67964686,-0.43043149,-0.75546498
9,3,23.98877098,13.28617448,-0.29663182,-0.39347238
10,3,23.59280309,13.06321722,-0.39596789,-0.22295726
11,3,23.14492423,12.93510577,-0.44787886,-0.12811145
12,3,22.74578923,12.88891988,-0.399135,-0.04618589
13,3,22.37462508,12.90513696,-0.37116415,0.01621708
14,3,21.87831364,12.99892099,-0.49631144,0.09378403
15,3,21.34141259,13.22457404,-0.53690105,0.22565305
16,3,20.7862597,13.55504042,-0.55515289,0.33046638
17,3,20.24639782,13.89026305,-0.53986188,0.33522263
18,3,19.73176837,14.30376116,-0.51462945,0.41349811
19,3,19.21287675,15.20992746,-0.51889162,0.9061663
20,3,18.63001852,16.06762081,-0.58285823,0.85769335
21,3,18.08027675,16.75702521,-0.54974177,0.6894044
22,3,17.68571327,17.15540628,-0.39456348,0.39838107
23,3,17.365167,17.41306457,-0.32054627,0.25765829
24,3,17.11051655,17.57866405,-0.25465045,0.16559948
25,3,16.8856592,17.7010056,-0.22485735,0.12234155
26,3,16.73232062,17.75086459,-0.15333858,0.04985899
27,3,17.73232062,17.93358172,1,0.18271713
28,3,18.43242652,17.52368257,0.7001059,-0.40989915
29,3,18.62659916,16.57112009,0.19417264,-0.95256248
30,3,18.46356623,16.18914295,-0.16303293,-0.38197714
31,3,18.53223659,15.35110114,0.06867036,-0.83804181
32,3,18.58117348,14.35110114,0.04893689,-1
33,3,18.73921081,13.35110114,0.15803733,-1
34,3,19.39725326,12.35110114,0.65804245,-1
35,3,20.27592989,11.35110114,0.87867663,-1
36,3,20.57410839,10.35110114,0.2981785,-1
37,3,20.50470472,9.351101137,-0.06940367,-1.000000003
38,3,20.28700505,8.540715005,-0.21769967,-0.810386132
39,3,20.04948244,8.116413878,-0.23752261,-0.424301127
40,3,20.00628871,7.962507616,-0.04319373,-0.153906262
41,3,20.05794209,7.953587227,0.05165338,-0.008920389
42,3,20.14446799,8.043539834,0.0865259,0.089952607
43,3,20.27169297,8.14985552,0.12722498,0.106315686
44,3,20.42770769,8.163843963,0.15601472,0.013988443
45,3,20.64617211,8.300491867,0.21846442,0.136647904
46,3,20.86171111,8.511601019,0.215539,0.211109152
47,3,21.14103906,8.816062393,0.27932795,0.304461374
48,3,21.41853485,9.314237722,0.27749579,0.498175329
49,3,21.49406381,9.869200804,0.07552896,0.554963082
50,3,21.31865766,10.41339557,-0.17540615,0.544194766
51,3,20.98524406,10.80260432,-0.3334136,0.38920875
52,3,20.58293668,11.1951567,-0.40230738,0.39255238
53,3,20.85360042,11.12398242,0.27066374,-0.07117428
54,3,20.81238718,11.00716611,-0.04121324,-0.11681631
55,3,20.64274978,10.76539245,-0.1696374,-0.24177366
56,3,20.03554693,10.88696098,-0.60720285,0.12156853
57,3,19.56333847,10.61438354,-0.47220846,-0.27257744
58,3,19.08883621,10.05776756,-0.47450226,-0.55661598
59,3,18.51731101,9.463144,-0.5715252,-0.59462356
60,3,17.93067769,8.795772502,-0.58663332,-0.667371498
61,3,17.34624667,8.032989007,-0.58443102,-0.762783495
